timestamp,Average Flow Duration - s1,Average Flow Duration - s10,Average Flow Duration - s2,Average Flow Duration - s3,Average Flow Duration - s4,Average Flow Duration - s5,Average Flow Duration - s6,Average Flow Duration - s7,Average Flow Duration - s8,Average Flow Duration - s9,Average Packets Per Flow - s1,Average Packets Per Flow - s10,Average Packets Per Flow - s2,Average Packets Per Flow - s3,Average Packets Per Flow - s4,Average Packets Per Flow - s5,Average Packets Per Flow - s6,Average Packets Per Flow - s7,Average Packets Per Flow - s8,Average Packets Per Flow - s9,Bridge Controller Status,CPU Utilization,Database Space Utilization,Flow Stablity Index - s1,Flow Stablity Index - s10,Flow Stablity Index - s2,Flow Stablity Index - s3,Flow Stablity Index - s4,Flow Stablity Index - s5,Flow Stablity Index - s6,Flow Stablity Index - s7,Flow Stablity Index - s8,Flow Stablity Index - s9,Memory Per Bridge,Rate of Packet in Messages - s1,Rate of Packet in Messages - s10,Rate of Packet in Messages - s2,Rate of Packet in Messages - s3,Rate of Packet in Messages - s4,Rate of Packet in Messages - s5,Rate of Packet in Messages - s6,Rate of Packet in Messages - s7,Rate of Packet in Messages - s8,Rate of Packet in Messages - s9,Rate of Port Flapping - s1,Rate of Port Flapping - s10,Rate of Port Flapping - s2,Rate of Port Flapping - s3,Rate of Port Flapping - s4,Rate of Port Flapping - s5,Rate of Port Flapping - s6,Rate of Port Flapping - s7,Rate of Port Flapping - s8,Rate of Port Flapping - s9,Resource Utilization
2025-03-23 03:32:00,335,335,335,335,335,335,140,335,335,188,706,821,244,1009,2388,214,500.6,1014,721,619.2857142857143,1,10.9,73.87487694974546,1,1,1,1,1,1,1,1,1,1,0.86636,391.44482758620694,3018.012220413793,619.3378073563217,3517.6181706666666,9481.390872275862,176.60689655172416,1355.5068965517244,1704.237931034483,141.1448275862069,1611.3827586206899,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:32:10,345,345,345,345,345,345,150.6,345,345,198.42857142857142,706,821,244,1009,2388,214,500.6,1014,721,619.2857142857143,1,10.9,73.8754829160506,1,1,1,1,1,1,1,1,1,1,0.86636,390.2365853910848,3018.0041830085643,619.3377723180264,3517.6140373768826,11238.63744776742,176.36490908652036,1150.458101868614,1703.9906758942209,140.9029624035779,1316.185116603046,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:32:20,355,355,356,356,356,355,161,356,356,208.71428571428572,706,821,244,1009,2783,214,500.6,1014,721,619.2857142857143,1,10.9,73.87601069315508,1,1,1,1,1,1,1,1,1,1,0.86636,390.2379310344828,3018.0145390000002,619.3398861494253,3517.626128321839,12816.871246298851,176.36551724137934,1056.3586206896553,1703.996551724138,140.90344827586208,1158.3965517241381,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:32:30,366,366,366,366,366,366,172,366,366,219.42857142857142,706,821,244,1009,3070,214,500.6,1014,721,619.2857142857143,1,11,73.87659711216006,1,1,1,1,1,1,1,1,1,1,0.86636,390.264845851438,3018.0179731130884,619.3405871094559,3517.6301377566265,14415.95890957997,176.37768121939442,927.7915718325401,1704.1140768328848,140.9131664252707,1056.6211462859508,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:32:40,377,377,377,377,377,377,182.6,377,377,230.42857142857142,706,821,244,1009,3450,214,500.6,1014,721,619.2857142857143,1,11,73.87716398386488,1,1,1,1,1,1,1,1,1,1,0.86636,390.2365853910848,3018.0002501485624,619.3377723180264,3517.6140373768826,15973.270234355512,176.36490908652036,854.9832586784182,1703.9906758942209,140.4202054475674,993.872434922638,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:32:50,387,387,387,387,387,387,192.8,388,387,240.57142857142858,706,821,244,1009,3779,214,500.6,1014,721,619.2857142857143,1,11,73.87563929445193,1,1,1,1,1,1,1,1,1,1,0.86636,389.03237597371026,3017.988794777453,619.3181779592344,3517.590840887957,17742.10027094346,175.40060482967183,608.1814075220949,1703.0369070238173,139.69703343804633,625.6297435508399,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:33:00,398,398,398,398,398,398,203,398,398,251.14285714285714,706,821,244,1009,4153,214,500.6,1014,721,619.2857142857143,1,11,73.87614752425624,1,1,1,1,1,1,1,1,1,1,0.86636,387.3164642514776,3017.936936461631,619.3001850702418,4271.99631421596,17757.76620993938,173.9391306146939,395.2716915289071,1700.7427637431983,138.59061096973085,265.0604486927496,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:33:10,408,408,408,408,408,408,213.8,408,408,261.42857142857144,706,821,244,1096,4259,214,500.6,1014,721,619.2857142857143,1,10.9,73.8560528996856,1,1,1,1,1,1,1,1,1,1,0.86636,415.8821784977828,3017.937613178942,619.296460699729,5171.731758391437,17758.104141120515,173.21498768957028,199.28758129366412,1700.0186208180749,137.86646804460722,91.26614666308045,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:33:20,419,419,419,418,418,419,224,419,418,272,706,821,244,1481,4260,214,500.6,1014,721,619.2857142857143,1,10.9,73.85411771696917,1,1,1,1,1,1,1,1,1,1,0.86636,423.1620689655173,3045.3071707126433,619.296390908046,5171.699867999999,17758.102112586206,173.2137931034483,92.90344827586208,1776.993103448276,166.76206896551727,91.66551724137932,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:33:30,429,429,429,429,429,429,234.6,429,429,221.44444444444446,733,821,244,1492,4260,215,500.8,1078,748,484.6666666666667,1,10.9,73.854450021072,1,1,1,1,1,1,1,1,1,1,0.86636,422.92068965517245,3070.762353195402,638.5433894252874,5195.9513327816085,17790.09322491954,198.13448275862072,92.90344827586208,1757.593103448276,166.76206896551727,91.50689655172415,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:33:40,439,439,439,439,439,439,245,440,439,231.55555555555554,733,858,260,1496,4277,248,500.8,1079,749,484.77777777777777,1,10.8,73.85480187247498,1,1,1,1,1,1,1,1,1,1,0.86636,452.54794860654204,3070.9999682296657,660.4566928737439,5398.343411908588,17911.73487584972,225.7463844578238,92.90408899371718,1434.7409292477878,166.7632190566831,91.50752763812163,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:33:50,450,450,450,450,450,450,255.4,450,450,242.22222222222223,751,859,276,1564,4346,249,500.8,1079,749,484.77777777777777,1,10.7,73.85478232517482,1,1,1,1,1,1,1,1,1,1,0.86636,452.7830842545914,3098.6947397489216,611.2337156295474,5398.5611998652885,17911.670101033782,225.74327073606392,92.90280756684437,899.4558658216151,213.2364604382039,93.07177191881436,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:34:00,460,460,460,460,460,460,265.6,460,460,177.23076923076923,752,878,276,1565,4346,267,500.8,1079,811,339.53846153846155,1,10.6,73.8553687441798,1,1,1,1,1,1,1,1,1,1,0.86636,512.553491563764,3098.953418057764,611.2400387587544,5398.235276443483,17911.794537096106,196.33171148866032,93.1451487763751,859.5788261338832,213.23866634022878,94.5141190142035,0,0,0,0,0,0,0,0,0,0,2.161277028436175
2025-03-23 03:34:10,471,470,471,470,470,471,276,471,470,129.94736842105263,805,879,277,1567,4346,267,501,1138,812,238,1,10.6,73.85544693338045,1,1,1,1,1,1,1,1,1,1,0.86636,489.81548212235214,3101.0278097625624,611.2400387587544,5398.391453223403,17911.716556045598,170.9936930817003,93.1451487763751,822.061455384329,127.14526601815868,52.50707761061245,0,0,0,0,0,0,0,0,0,0,2.161277028436175
